"auto_ids","n","geoms"
358,2,"1015.066,1002.384,-2.264,1015.07,1002.44,-2.276"
359,2,"1015.349,1002.693,-2.266,1015.361,1002.736,-2.261"
360,2,"1015.138,1002.952,-2.25,1015.227,1002.955,-2.254"
361,1,"1015.419,1002.235,-2.285"
362,2,"1015.257,1002.998,-2.271,1015.208,1003.011,-2.259"
363,2,"1015.199,1003.107,-2.259,1015.195,1003.186,-2.264"
364,1,"1015.123,1003.052,-1.813"
365,1,"1015.368,1003.321,-2.25"
366,1,"1015.21,1003.205,-2.248"
367,1,"1015.262,1003.307,-2.256"
368,1,"1015.361,1003.336,-2.265"
369,1,"1015.221,1002.058,-2.285"
370,1,"1015.531,1002.237,-2.313"
371,2,"1015.407,1002.029,-2.269,1015.332,1002.056,-2.272"
372,2,"1015.261,1002.283,-2.288,1015.208,1002.306,-2.294"
373,1,"1015.456,1002.698,-2.284"
374,1,"1015.122,1002.799,-2.273"
375,1,"1015.48,1003.178,-2.27"
376,1,"1015.31,1003.184,-2.285"
377,2,"1015.295,1003.22,-2.273,1015.344,1003.205,-2.265"
378,2,"1015.308,1003.192,-2.289,1015.364,1003.231,-2.283"
379,1,"1015.426,1003.32,-2.271"
380,1,"1015.279,1003.367,-2.258"
381,2,"1015.087,1003.356,-2.237,1015.11,1003.346,-2.252"
382,5,"1015.087,1003.328,-2.242,1015.143,1003.344,-2.246,1015.115,1003.384,-2.231,1015.068,1003.37,-2.243,1015.087,1003.328,-2.242"
383,1,"1015.686,1002.129,-2.287"
384,5,"1015.766,1002.251,-2.307,1015.708,1002.256,-2.296,1015.718,1002.31,-2.323,1015.757,1002.296,-2.317,1015.766,1002.251,-2.307"
385,1,"1015.718,1002.558,-2.276"
386,1,"1015.776,1002.625,-2.263"
387,1,"1015.348,1003.078,-2.26"
388,5,"1015.215,1003.2,-2.299,1015.206,1003.247,-2.271,1015.206,1003.317,-2.278,1015.224,1003.3,-2.278,1015.215,1003.2,-2.299"
389,2,"1015.685,1002.239,-2.314,1015.763,1002.269,-2.325"
390,1,"1015.489,1002.396,-2.315"
391,1,"1015.137,1002.413,-2.289"
392,1,"1015.614,1002.517,-2.311"
393,1,"1015.676,1002.548,-2.309"
394,1,"1015.667,1002.068,-2.298"
395,1,"1015.595,1002.103,-2.315"
396,1,"1015.62,1002.229,-2.317"
397,1,"1015.647,1002.416,-2.324"
398,1,"1015.699,1002.537,-2.325"
399,2,"1015.333,1002.724,-2.324,1015.301,1002.771,-2.315"
400,1,"1015.339,1002.863,-2.308"
401,1,"1015.555,1002.991,-2.277"
402,2,"1015.221,1002.189,-2.306,1015.245,1002.252,-2.303"
403,1,"1015.788,1002.729,-2.301"
404,1,"1015.142,1002.924,-2.285"
405,2,"1015.603,1002.197,-2.351,1015.659,1002.185,-2.354"
406,5,"1015.146,1002.196,-2.325,1015.199,1002.174,-2.344,1015.235,1002.224,-2.357,1015.185,1002.275,-2.345,1015.146,1002.196,-2.325"
407,1,"1015.194,1002.294,-2.333"
408,1,"1015.124,1002.442,-2.334"
409,2,"1015.195,1002.586,-2.354,1015.213,1002.649,-2.339"
410,1,"1015.387,1002.972,-2.288"
411,4,"1015.622,1003.029,-2.277,1015.662,1002.984,-2.289,1015.685,1003.049,-2.271,1015.622,1003.029,-2.277"
412,1,"1015.199,1003.179,-2.288"
413,4,"1015.461,1003.324,-2.303,1015.49,1003.355,-2.289,1015.445,1003.384,-2.276,1015.461,1003.324,-2.303"
414,2,"1015.19,1003.301,-2.277,1015.2,1003.383,-2.279"
415,2,"1015.551,1003.393,-2.258,1015.149,1003.449,-2.248"
416,2,"1015.281,1003.391,-2.293,1015.266,1003.444,-2.29"
417,2,"1015.845,1002.603,-2.346,1015.718,1002.659,-2.332"
418,2,"1015.88,1002.68,-2.343,1015.856,1002.745,-2.322"
419,1,"1015.527,1002.935,-2.315"
420,1,"1015.297,1003.017,-2.291"
421,2,"1015.827,1003.041,-2.294,1015.727,1003.013,-2.286"
422,2,"1015.66,1003.022,-2.291,1015.651,1003.094,-2.277"
423,2,"1015.284,1003.13,-2.293,1015.231,1003.159,-2.292"
424,4,"1015.505,1003.199,-2.312,1015.448,1003.146,-2.308,1015.415,1003.197,-2.312,1015.505,1003.199,-2.312"
425,2,"1015.457,1003.384,-2.294,1015.475,1003.443,-2.278"
426,1,"1015.191,1003.227,-2.275"
427,2,"1015.392,1003.202,-2.301,1015.121,1003.227,-2.299"
428,2,"1015.175,1003.302,-2.29,1015.221,1003.28,-2.297"
429,2,"1015.253,1003.328,-2.283,1015.327,1003.406,-2.172"
430,4,"1015.481,1002.942,-2.308,1015.458,1002.962,-2.324,1015.48,1003.003,-2.318,1015.481,1002.942,-2.308"
431,1,"1015.591,1003.141,-2.302"
432,1,"1015.393,1003.062,-2.319"
433,1,"1015.143,1003.1,-2.308"
434,4,"1015.458,1003.212,-2.323,1015.409,1003.221,-2.307,1015.411,1003.263,-2.315,1015.458,1003.212,-2.323"
435,2,"1015.53,1003.364,-2.3,1015.46,1003.377,-2.308"
436,4,"1015.213,1003.217,-2.298,1015.205,1003.277,-2.305,1015.161,1003.227,-2.302,1015.213,1003.217,-2.298"
437,1,"1015.095,1003.313,-2.293"
438,2,"1015.115,1002.02,-2.116,1015.078,1002.095,-2.129"
439,1,"1015.974,1002.196,-2.374"
440,1,"1016.003,1002.151,-2.353"
441,1,"1015.709,1002.086,-2.35"
